name,MEe,Ered,a_n,a_n_std,mobN,mobN_std,eesd,bulk
Bolsig,9.17,49.205726470284745,3.5369999999999996e-22,,2.312e+24,,Equal,False
Bolsig,9.22,50.0,3.6649999999999997e-22,,2.3159999999999995e+24,,Equal,False
Bolsig,9.427,53.25689631412845,4.1979999999999996e-22,,2.3289999999999998e+24,,Equal,False
Bolsig,9.679,57.20593855676915,4.871e-22,,2.346999999999999e+24,,Equal,False
Bolsig,10.05,62.93056392100993,5.884999999999999e-22,,2.3729999999999992e+24,,Equal,False
Bolsig,10.28,66.50688122930399,6.536999999999999e-22,,2.3889999999999998e+24,,Equal,False
Bolsig,10.79,74.36137194434488,8.005999999999999e-22,,2.4249999999999996e+24,,Equal,False
Bolsig,10.99,77.32003638851856,8.57e-22,,2.438e+24,,Equal,False
Bolsig,11.71,87.86849017253273,1.061e-21,,2.489e+24,,Equal,False
Bolsig,11.85,89.89127014555693,1.1e-21,,2.497999999999999e+24,,Equal,False
Bolsig,12.56,100.0,1.297e-21,,2.5449999999999997e+24,,Equal,False
Bolsig,12.84,103.8290629035074,1.372e-21,,2.562999999999999e+24,,Equal,False
Bolsig,12.89,104.50642324815794,1.385e-21,,2.5659999999999996e+24,,Equal,False
Bolsig,14.16,121.49781043741264,1.712e-21,,2.6449999999999993e+24,,Equal,False
Bolsig,14.26,122.68873952713484,1.734e-21,,2.65e+24,,Equal,False
Bolsig,15.74,141.25177651552298,2.078e-21,,2.732e+24,,Equal,False
Bolsig,16.05,144.97411789939844,2.145e-21,,2.7479999999999995e+24,,Equal,False
Bolsig,17.7,164.21748093204675,2.48e-21,,2.826e+24,,Equal,False
Bolsig,18.33,171.3074479509204,2.597e-21,,2.853e+24,,Equal,False
Bolsig,20.15,190.9171106297806,2.907e-21,,2.923e+24,,Equal,False
Bolsig,21.02,200.0,3.042e-21,,2.951999999999999e+24,,Equal,False
Bolsig,21.26,202.42400608239237,3.077e-21,,2.96e+24,,Equal,False
Bolsig,23.21,221.9577533667476,3.348e-21,,3.0169999999999987e+24,,Equal,False
Bolsig,24.99,239.19262547290936,3.567e-21,,3.06e+24,,Equal,False
Bolsig,27.01,258.0452014861433,3.788e-21,,3.0999999999999985e+24,,Equal,False
Bolsig,29.75,282.63995554626183,4.047e-21,,3.1429999999999995e+24,,Equal,False
Bolsig,31.75,300.0000000000001,4.212e-21,,3.169e+24,,Equal,False
Bolsig,35.78,333.9791279653829,4.496e-21,,3.2029999999999987e+24,,Equal,False
Bolsig,43.36,394.6436295637637,4.897e-21,,3.231e+24,,Equal,False
Bolsig,52.89,466.32732801016255,5.234e-21,,3.2289999999999993e+24,,Equal,False
Bolsig,57.58,500.0,5.353e-21,,3.219999999999999e+24,,Equal,False
Bolsig,64.92,551.031767798907,5.495e-21,,3.1999999999999987e+24,,Equal,False
Bolsig,80.22,651.1220571593268,5.668e-21,,3.147999999999999e+24,,Equal,False
Bolsig,99.96,769.392906352565,5.740000000000001e-21,,3.084999999999999e+24,,Equal,False
Bolsig,125.9,909.146661269986,5.7e-21,,3.018e+24,,Equal,False
Bolsig,160.7,1074.2855111788708,5.540000000000001e-21,,2.956e+24,,Equal,False
Bolsig,208.7,1269.4204452301478,5.254e-21,,2.909999999999999e+24,,Equal,False
Bolsig,277.1,1500.0000000000005,4.843e-21,,2.889999999999999e+24,,Equal,False
Bolsig,0.03878,0.0001,,,2.492e+25,,One Takes All,False
Bolsig,0.03878,0.0001,,,2.492e+25,,One Takes All,False
Bolsig,0.03878,0.0001162587012942,,,2.492e+25,,One Takes All,False
Bolsig,0.03878,0.0001181641595293,,,2.492e+25,,One Takes All,False
Bolsig,0.03878,0.0001351608562663,,,2.492e+25,,One Takes All,False
