Energy (eV),ICS (cm^2),MTCS (cm^2),s2S (cm^2),s2P (cm^2),t2S (cm^2),S3P (cm^2),s3D (cm^2),s3S (cm^2),t2P (cm^2),t3D (cm^2),s4F (cm^2),t3S (cm^2),T2P (cm^2),s4D (cm^2),t4F (cm^2),s4S (cm^2),s3P (cm^2),t4D (cm^2),s5F (cm^2),t4S (cm^2),t3P (cm^2),s5D (cm^2),t5F (cm^2),s5S (cm^2),T3P (cm^2),t5D (cm^2),s6F (cm^2),t5S (cm^2),s4P (cm^2),s6D (cm^2),t6F (cm^2),s6S (cm^2),t4P (cm^2)
22.3,2.822e-16,2.356e-16,1.714e-18,1.067e-18,1.764e-18,0.0,0.0,0.0,1.875e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.4,2.756e-16,2.283e-16,2.46e-18,1.29e-18,3.998e-18,0.0,0.0,0.0,2.027e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.5,2.769e-16,2.283e-16,3.022e-18,9.085e-19,3.602e-18,0.0,0.0,0.0,2.565e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.6,2.756e-16,2.271e-16,2.379e-18,9.374e-19,3.135e-18,0.0,0.0,0.0,1.628e-18,0.0,0.0,8.764e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.7,2.746e-16,2.259e-16,2.431e-18,1.164e-18,2.973e-18,0.0,0.0,0.0,1.86e-18,0.0,0.0,7.759e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.8,2.739e-16,2.25e-16,2.246e-18,1.037e-18,2.895e-18,0.0,0.0,3.826e-19,2.038e-18,0.0,0.0,8.601e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.9,2.726e-16,2.236e-16,2.118e-18,1.112e-18,2.863e-18,0.0,0.0,5.093e-19,1.966e-18,0.0,0.0,5.946e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.023e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.994,2.715e-16,2.222e-16,2.198e-18,1.121e-18,3.004e-18,0.0,1.644e-19,4.558e-19,1.942e-18,2.695e-20,0.0,7.864e-19,0.0,0.0,0.0,0.0,2.971e-20,0.0,0.0,0.0,2.465e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,2.715e-16,2.222e-16,2.203e-18,1.078e-18,2.884e-18,0.0,1.358e-19,4.329e-19,1.933e-18,4.605e-20,0.0,8.229e-19,0.0,0.0,0.0,0.0,5.601e-20,0.0,0.0,0.0,2.275e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.1,2.706e-16,2.209e-16,2.235e-18,1.044e-18,2.834e-18,0.0,1.849e-19,4.027e-19,1.839e-18,9.036e-20,0.0,8.756e-19,0.0,0.0,0.0,0.0,1.124e-19,0.0,0.0,0.0,2.317e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.2,2.698e-16,2.197e-16,2.311e-18,1.103e-18,2.922e-18,0.0,2.084e-19,3.928e-19,1.919e-18,1.773e-19,0.0,7.843e-19,0.0,0.0,0.0,0.0,9.406e-20,0.0,0.0,0.0,2.486e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.3,2.695e-16,2.193e-16,2.162e-18,1.229e-18,2.594e-18,0.0,2.561e-19,3.048e-19,2.03e-18,2.496e-19,0.0,7.168e-19,0.0,0.0,0.0,0.0,1.341e-19,0.0,0.0,0.0,3.123e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.4,2.678e-16,2.171e-16,2.342e-18,1.02e-18,2.78e-18,0.0,2.371e-19,5.347e-19,1.926e-18,2.033e-19,0.0,9.217e-19,0.0,0.0,0.0,0.0,1.357e-19,0.0,0.0,0.0,2.275e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.5,2.673e-16,2.165e-16,2.306e-18,1.198e-18,2.672e-18,0.0,2.042e-19,3.297e-19,1.962e-18,1.397e-19,0.0,7.173e-19,0.0,0.0,0.0,0.0,1.98e-19,0.0,0.0,3.19e-19,3.701e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.6,2.661e-16,2.151e-16,2.297e-18,1.159e-18,2.776e-18,0.0,1.923e-19,2.711e-19,2.09e-18,1.423e-19,0.0,6.993e-19,0.0,0.0,0.0,1.153e-19,1.931e-19,0.0,0.0,3.385e-19,3.177e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.338e-19
26.667,2.418e-16,1.837e-16,2.338e-18,2.313e-18,2.396e-18,0.0,1.674e-19,3.813e-19,2.59e-18,1.46e-19,1.082e-20,6.317e-19,0.0,1.131e-19,1.344e-20,1.522e-19,4.242e-19,8.895e-20,3.283e-20,1.826e-19,5.405e-19,8.684e-20,2.686e-20,1.442e-19,0.0,7.321e-20,4.534e-20,2.224e-19,2.368e-19,1.207e-19,4.864e-20,9.966e-20,3.002e-19
30.613,2.149e-16,1.519e-16,2.18e-18,3.563e-18,1.767e-18,0.0,1.863e-19,4.427e-19,2.68e-18,1.142e-19,8.687e-21,4.952e-19,0.0,1.017e-19,6.86e-21,1.737e-19,7.37e-19,5.965e-20,1.53e-20,2.091e-19,6.056e-19,8.045e-20,9.739e-21,1.647e-19,0.0,6.943e-20,6.496e-20,9.895e-20,3.026e-19,2.713e-19,4.744e-20,2.962e-19,2.442e-19
34.831,1.902e-16,1.258e-16,2.055e-18,4.508e-18,1.455e-18,0.0,1.937e-19,4.395e-19,2.116e-18,9.227e-20,9.005e-21,4.304e-19,0.0,1.172e-19,5.713e-21,1.81e-19,9.054e-19,5.823e-20,1.774e-20,1.764e-19,5.233e-19,1.731e-19,7.43e-21,2.154e-19,0.0,9.452e-20,3.981e-20,1.981e-19,3.609e-19,2.289e-19,3.318e-20,1.834e-19,2.149e-19
39.321,1.697e-16,1.055e-16,1.979e-18,5.53e-18,1.126e-18,0.0,1.955e-19,4.158e-19,1.791e-18,6.171e-20,7.66e-21,3.233e-19,0.0,1.142e-19,2.558e-21,1.668e-19,1.146e-18,4.624e-20,1.021e-20,1.324e-19,4.702e-19,1.369e-19,6.615e-21,1.869e-19,0.0,3.826e-20,3.394e-20,1.079e-19,4.832e-19,2.794e-19,1.113e-20,2.885e-19,2.2e-19
44.083,1.512e-16,8.849e-17,1.854e-18,6.485e-18,8.87e-19,0.0,1.901e-19,3.718e-19,1.527e-18,4.736e-20,4.977e-21,2.43e-19,0.0,1.123e-19,8.437e-22,1.635e-19,1.402e-18,2.882e-20,1.212e-20,1.005e-19,4.202e-19,1.402e-19,3.673e-21,1.634e-19,0.0,4.783e-20,2.047e-20,9.178e-20,5.71e-19,2.397e-19,5.854e-21,2.672e-19,1.905e-19
49.117,1.355e-16,7.505e-17,1.769e-18,7.157e-18,6.91e-19,0.0,1.793e-19,3.52e-19,1.19e-18,3.198e-20,5.206e-21,1.78e-19,0.0,1.03e-19,6.547e-22,1.521e-19,1.579e-18,1.962e-20,6.997e-21,7.155e-20,3.399e-19,1.354e-19,1.461e-21,1.504e-19,0.0,2.785e-20,2.053e-20,7.172e-20,6.597e-19,2.166e-19,4.631e-21,2.21e-19,1.537e-19
60.002,1.096e-16,5.447e-17,1.612e-18,8.306e-18,4.321e-19,0.0,1.636e-19,3.203e-19,7.54e-19,1.75e-20,3.386e-21,1.074e-19,0.0,9.468e-20,2.67e-22,1.269e-19,1.881e-18,1.078e-20,5.849e-21,4.318e-20,2.225e-19,1.248e-19,1.832e-21,1.416e-19,0.0,1.319e-20,1.552e-20,3.818e-20,7.935e-19,1.948e-19,2.296e-21,1.834e-19,9.727e-20
65.852,9.863e-17,4.682e-17,1.599e-18,8.722e-18,3.438e-19,0.0,1.583e-19,3.158e-19,6.021e-19,1.389e-20,2.752e-21,8.49e-20,0.0,8.828e-20,1.679e-22,1.29e-19,2.012e-18,7.691e-21,5.904e-21,3.534e-20,1.8e-19,1.148e-19,6.001e-22,1.205e-19,0.0,1.429e-20,1.25e-20,2.822e-20,8.506e-19,1.901e-19,1.709e-21,2.01e-19,7.897e-20
71.975,8.949e-17,4.056e-17,1.475e-18,8.978e-18,3.02e-19,0.0,1.565e-19,2.9e-19,5.006e-19,9.163e-21,2.922e-21,6.637e-20,1.731e-20,8.48e-20,3.237e-22,1.136e-19,2.096e-18,5.408e-21,4.092e-21,2.368e-20,1.493e-19,1.086e-19,1.09e-21,1.201e-19,0.0,5.261e-21,1.234e-20,2.328e-20,8.924e-19,1.694e-19,1.222e-21,1.601e-19,6.119e-20
78.369,8.131e-17,3.522e-17,1.46e-18,9.013e-18,2.356e-19,0.0,1.424e-19,3.165e-19,4.08e-19,7.321e-21,3.664e-21,5.212e-20,1.105e-20,8.166e-20,1.225e-22,1.284e-19,2.168e-18,4.881e-21,3.74e-21,1.934e-20,1.265e-19,9.034e-20,2.7e-22,1.173e-19,0.0,5.584e-21,9.13e-21,1.919e-20,9.052e-19,1.752e-19,7.744e-22,1.655e-19,5.563e-20
85.036,7.435e-17,3.083e-17,1.387e-18,9.184e-18,2e-19,0.0,1.324e-19,3.038e-19,3.134e-19,5.204e-21,1.763e-21,4.492e-20,1.104e-20,7.579e-20,7.656e-23,1.228e-19,2.155e-18,3.323e-21,3.053e-21,1.75e-20,9.497e-20,9.245e-20,3.63e-22,1.283e-19,0.0,4.002e-21,8.365e-21,1.598e-20,9.197e-19,1.558e-19,8.453e-22,1.785e-19,4.413e-20
91.975,6.769e-17,2.694e-17,1.343e-18,9.315e-18,1.662e-19,0.0,1.25e-19,2.885e-19,2.515e-19,3.877e-21,1.433e-21,3.675e-20,1.494e-20,7.134e-20,6.39e-23,1.163e-19,2.21e-18,2.328e-21,2.743e-21,1.442e-20,7.722e-20,8.881e-20,2.824e-22,1.183e-19,0.0,3.933e-21,6.102e-21,1.22e-20,9.452e-19,1.511e-19,8.085e-22,1.72e-19,3.533e-20
99.186,6.221e-17,2.384e-17,1.292e-18,9.363e-18,1.368e-19,0.0,1.161e-19,2.795e-19,1.973e-19,2.924e-21,1.105e-21,3.068e-20,1.891e-20,6.56e-20,6.735e-23,1.13e-19,2.219e-18,1.891e-21,2.418e-21,1.186e-20,6.008e-20,8.238e-20,4.46e-22,1.175e-19,0.0,2.991e-21,5.874e-21,1.085e-20,9.466e-19,1.347e-19,8.762e-22,1.653e-19,2.676e-20
106.67,5.706e-17,2.108e-17,1.227e-18,9.322e-18,1.189e-19,0.0,1.137e-19,2.715e-19,1.535e-19,2.307e-21,1.196e-21,2.63e-20,2.491e-20,6.416e-20,3.684e-23,1.1e-19,2.228e-18,1.408e-21,1.962e-21,1.018e-20,4.691e-20,7.817e-20,9.021e-23,1.133e-19,0.0,1.976e-21,5.453e-21,9.281e-21,9.568e-19,1.311e-19,3.059e-22,1.627e-19,2.13e-20
114.43,5.284e-17,1.887e-17,1.178e-18,9.233e-18,1.014e-19,0.0,1.028e-19,2.565e-19,1.177e-19,1.701e-21,9.327e-22,2.244e-20,2.298e-20,5.918e-20,2.942e-23,1.044e-19,2.218e-18,1.023e-21,1.778e-21,8.652e-21,3.631e-20,7.92e-20,1.569e-22,1.077e-19,0.0,1.618e-21,4.522e-21,7.624e-21,9.532e-19,1.196e-19,4.14e-22,1.54e-19,1.613e-20
122.45,4.876e-17,1.679e-17,1.135e-18,9.126e-18,8.839e-20,0.0,1.022e-19,2.542e-19,9.544e-20,1.383e-21,7.578e-22,1.937e-20,1.299e-20,5.612e-20,1.7e-23,9.939e-20,2.214e-18,9.45e-22,1.308e-21,7.5e-21,2.988e-20,6.923e-20,5.873e-23,1.062e-19,0.0,9.856e-22,4.03e-21,7.144e-21,9.532e-19,1.142e-19,1.537e-22,1.44e-19,1.325e-20
130.75,4.536e-17,1.507e-17,1.082e-18,9.013e-18,7.393e-20,0.0,9.564e-20,2.42e-19,7.992e-20,1.049e-21,7.472e-22,1.648e-20,4.248e-21,5.389e-20,2.547e-23,9.801e-20,2.181e-18,6.634e-22,1.29e-21,6.395e-21,2.455e-20,6.607e-20,1.314e-22,1.031e-19,0.0,9.595e-22,3.2e-21,5.863e-21,9.43e-19,1.158e-19,3.412e-22,1.441e-19,1.124e-20
148.17,3.911e-17,1.219e-17,1.012e-18,8.74e-18,6.298e-20,1.23e-21,8.809e-20,2.226e-19,6.381e-20,8.642e-22,5.145e-22,1.36e-20,4.36e-21,5.071e-20,8.916e-23,9.031e-20,2.129e-18,5.653e-22,1.098e-21,5.284e-21,2.015e-20,5.639e-20,8.434e-22,9.33e-20,4.724e-21,8.699e-22,2.669e-21,4.426e-21,9.256e-19,9.439e-20,7.167e-22,1.322e-19,9.3e-21
157.28,3.653e-17,1.102e-17,9.733e-19,8.624e-18,5.194e-20,1.804e-21,8.324e-20,2.154e-19,5.119e-20,7.019e-22,4.817e-22,1.139e-20,3.586e-21,4.723e-20,3.198e-23,8.761e-20,2.103e-18,5.468e-22,1.057e-21,4.407e-21,1.568e-20,5.76e-20,1.913e-22,8.959e-20,3.479e-21,8.674e-22,2.198e-21,3.989e-21,9.12e-19,9.082e-20,1.653e-22,1.294e-19,7.115e-21
